Decora SA,15.15,0.66,15.15,15.15,15.15,3000,45450,2018-12-11 09:02
Dekpol SA,32,0,32,32,32,50,1600,2018-12-11 09:00
Delko SA,7.9,-2.95,8.14,7.9,8.14,2116,17067,2018-12-11 09:27
DGA SA,9,0,9,9,9,2,18,2018-12-11 09:00
Dino Polska SA,97.65,-0.51,97,97,98,1194,116484,2018-12-11 09:27
Dom Development SA,65,1.56,64,64,65,61,3905,2018-12-11 09:04
Drewex SA,0.3,0,0,0,0,0,0,2018-12-10
Drop SA,0.46,0,0,0,0,0,0,2018-12-10
Drozapol-Profil SA,1.4,0,0,0,0,0,0,2018-12-10
Dębica SA,97.6,0,0,0,0,0,0,2018-12-10
EC Będzin SA,21.6,0,21.6,21.6,21.6,1,22,2018-12-11 09:11
Echo Investment SA,3.47,-13.03,3.5,3.44,3.5,34469,119981,2018-12-11 09:27
ED Invest SA,1.91,0,1.91,1.91,1.91,320,611,2018-12-11 09:00
Efekt SA,22,0,22,22,22,1,22,2018-12-11 09:00
Eko Export SA,3.02,-0.98,3.02,3.02,3.02,672,2029,2018-12-11 09:02
Elektrobudowa SA,30,-1.96,30.3,30,30.3,255,7665,2018-12-11 09:07
Elektrotim SA,3.95,0,0,0,0,0,0,2018-12-10
Elemental Holding SA,1.21,0,1.22,1.21,1.22,6001,7261,2018-12-11 09:08
Elkop SA,0.01,0,0.01,0.01,0.01,122700,1227,2018-12-11 09:00
Elzab SA,5.7,0,0,0,0,0,0,2018-12-10
EMC Instytut Medyczny SA,7.15,6.72,7.15,7.15,7.15,1,7,2018-12-11 09:01
Enea SA,10.87,0.18,10.85,10.85,10.92,20363,221353,2018-12-11 09:20
Enefi Plc.,1.5,0,0,0,0,0,0,2018-12-10
Enel-Med SA,9.85,0,0,0,0,0,0,2018-12-10
Energa SA,9.62,-0.1,9.63,9.58,9.66,40069,385499,2018-12-11 09:29
Energoaparatura SA,1.04,0,1.04,1.04,1.04,1,1,2018-12-11 09:01
Energoinstal SA,0.78,0,0.78,0.78,0.78,2,2,2018-12-11 09:15
Enter Air SA,19.45,0.52,19.45,19.45,19.45,100,1945,2018-12-11 09:04
Erbud SA,10,3.09,10,10,10,1,10,2018-12-11 09:06
ERG SA,37.5,-1.06,37.5,37.5,37.5,1,38,2018-12-11 09:00
Ergis SA,2.75,-1.08,2.78,2.75,2.78,406,1120,2018-12-11 09:25
ES-System SA,2.32,0,2.32,2.32,2.32,10,23,2018-12-11 09:05
Esotiq&Henderson SA,17.35,-0.29,17.35,17.35,17.35,1,17,2018-12-11 09:00
EuCO SA,6.98,2.65,6.98,6.98,6.98,1,7,2018-12-11 09:06
Eurocash SA,17.55,0.86,17.57,17.47,17.66,7410,130144,2018-12-11 09:29
Eurohold Bulgaria AD,3.54,0,0,0,0,0,0,2018-12-10
Eurotel SA,18.95,0,18.95,18.95,18.95,25,474,2018-12-11 09:22
Everest Investments SA,0.6,0,0,0,0,0,0,2018-12-10
Famur SA,5.7,0,5.72,5.7,5.72,2470,14102,2018-12-11 09:21
Fasing SA,16.15,1.89,16.15,16.15,16.2,425,6880,2018-12-11 09:23
Fast Finance SA,0.09,0,0,0,0,0,0,2018-12-10
Feerum SA,8.8,0,8.8,8.8,8.8,130,1144,2018-12-11 09:00
Fenghua SoleTech AG,17.5,0,0,0,0,0,0,2018-12-10
Ferro SA,12.7,-0.78,12.7,12.7,12.7,1,13,2018-12-11 09:00
Ferrum SA,4.14,-0.24,4.01,4.01,4.14,9,36,2018-12-11 09:11
Financial Assets Management Group SA,29,0,0,0,0,0,0,2018-12-10
Forte SA,24.35,2.31,24.1,24.05,24.9,4798,117416,2018-12-11 09:27
GetBack SA w restrukturyzacji,3.75,0,0,0,0,0,0,2018-12-10
Getin Holding SA,0.14,0,0,0,0,0,0,2018-12-10
Getin Noble Bank SA,0.3,-3.23,0.32,0.3,0.32,1122813,348055,2018-12-11 09:28
Gino Rossi SA,0.53,0,0.53,0.53,0.53,42076,22300,2018-12-11 09:29
GK Immobile SA,3.02,-4.13,3.15,3.02,3.15,5059,15278,2018-12-11 09:17
Global Cosmed SA,0.82,0,0,0,0,0,0,2018-12-10
Globalworth Poland Real Estate NV,5.2,1.96,5.2,5.2,5.2,237,1232,2018-12-11 09:00
Gobarto SA,8.68,4.58,8.3,8.3,8.8,3645,31380,2018-12-11 09:09
GPM Vindexus SA,7.2,0.56,7.16,7,7.28,2451,17236,2018-12-11 09:10
GPW SA,37.55,0,37.5,37.5,37.55,421,15807,2018-12-11 09:27
Graviton Capital SA,1.61,0.63,1.6,1.6,1.61,1622,2595,2018-12-11 09:15
Groclin SA,3.67,4.86,3.55,3.55,3.75,87250,318851,2018-12-11 09:29
Grodno SA,3.46,-2.81,3.69,3.46,3.69,781,2702,2018-12-11 09:27
Grupa Azoty SA,31.38,2.35,31.04,31.04,31.44,7835,244434,2018-12-11 09:27
Grupa Kęty SA,330,0.76,330,330,330,76,25080,2018-12-11 09:01
Grupa Lotos SA,83.6,0.77,83.02,83.02,83.92,13594,1134234,2018-12-11 09:28
Grupa Żywiec SA,468,0,0,0,0,0,0,2018-12-10
GTC SA,8.45,-0.59,8.59,8.45,8.59,394,3377,2018-12-11 09:11
Harper Hygienics SA,0.17,13.33,0.15,0.15,0.17,345912,56312,2018-12-11 09:28
Helio SA,10.5,0,10.5,10.5,10.5,1,11,2018-12-11 09:00
Herkules SA,2.97,0.34,2.97,2.97,2.97,1000,2970,2018-12-11 09:05
